DATE,LAUCN360550000000004
1990-01-01,13606
1990-02-01,13700
1990-03-01,12690
1990-04-01,11922
1990-05-01,11938
1990-06-01,11289
1990-07-01,12712
1990-08-01,12202
1990-09-01,13325
1990-10-01,12315
1990-11-01,12845
1990-12-01,13860
1991-01-01,17207
1991-02-01,17422
1991-03-01,17165
1991-04-01,16259
1991-05-01,16167
1991-06-01,16487
1991-07-01,17188
1991-08-01,16615
1991-09-01,17066
1991-10-01,16214
1991-11-01,16452
1991-12-01,16477
1992-01-01,19451
1992-02-01,20136
1992-03-01,19056
1992-04-01,17761
1992-05-01,18762
1992-06-01,19796
1992-07-01,19757
1992-08-01,19620
1992-09-01,19986
1992-10-01,17290
1992-11-01,17177
1992-12-01,17098
1993-01-01,18440
1993-02-01,18653
1993-03-01,17566
1993-04-01,16728
1993-05-01,17639
1993-06-01,18009
1993-07-01,22021
1993-08-01,17717
1993-09-01,17237
1993-10-01,16835
1993-11-01,16316
1993-12-01,16361
1994-01-01,19595
1994-02-01,19846
1994-03-01,18947
1994-04-01,18438
1994-05-01,18087
1994-06-01,18884
1994-07-01,20712
1994-08-01,19916
1994-09-01,19458
1994-10-01,18237
1994-11-01,16627
1994-12-01,15464
1995-01-01,18145
1995-02-01,17360
1995-03-01,16321
1995-04-01,15274
1995-05-01,15264
1995-06-01,14880
1995-07-01,15840
1995-08-01,15050
1995-09-01,14525
1995-10-01,12856
1995-11-01,12264
1995-12-01,12273
1996-01-01,13908
1996-02-01,14296
1996-03-01,14098
1996-04-01,12875
1996-05-01,13905
1996-06-01,13122
1996-07-01,14945
1996-08-01,13498
1996-09-01,13391
1996-10-01,12248
1996-11-01,11958
1996-12-01,11630
1997-01-01,14078
1997-02-01,14275
1997-03-01,14028
1997-04-01,12593
1997-05-01,13445
1997-06-01,14033
1997-07-01,15430
1997-08-01,14745
1997-09-01,15582
1997-10-01,13794
1997-11-01,13021
1997-12-01,13056
1998-01-01,14922
1998-02-01,14960
1998-03-01,14219
1998-04-01,13149
1998-05-01,13608
1998-06-01,13478
1998-07-01,18095
1998-08-01,14210
1998-09-01,14844
1998-10-01,13199
1998-11-01,12341
1998-12-01,12213
1999-01-01,14244
1999-02-01,16172
1999-03-01,14822
1999-04-01,14228
1999-05-01,14547
1999-06-01,15346
1999-07-01,15660
1999-08-01,14840
1999-09-01,16427
1999-10-01,14390
1999-11-01,13631
1999-12-01,13243
2000-01-01,15349
2000-02-01,15568
2000-03-01,14367
2000-04-01,12587
2000-05-01,12691
2000-06-01,12969
2000-07-01,13509
2000-08-01,13109
2000-09-01,12892
2000-10-01,11622
2000-11-01,11857
2000-12-01,11756
2001-01-01,14197
2001-02-01,14280
2001-03-01,13732
2001-04-01,12722
2001-05-01,13024
2001-06-01,14684
2001-07-01,15631
2001-08-01,16102
2001-09-01,16359
2001-10-01,16882
2001-11-01,17937
2001-12-01,19045
2002-01-01,21718
2002-02-01,22086
2002-03-01,21121
2002-04-01,20335
2002-05-01,19701
2002-06-01,20690
2002-07-01,21206
2002-08-01,19953
2002-09-01,19281
2002-10-01,18288
2002-11-01,18944
2002-12-01,19390
2003-01-01,21694
2003-02-01,21312
2003-03-01,20288
2003-04-01,19873
2003-05-01,20210
2003-06-01,22276
2003-07-01,22157
2003-08-01,20908
2003-09-01,20773
2003-10-01,19993
2003-11-01,20234
2003-12-01,19361
2004-01-01,22881
2004-02-01,21582
2004-03-01,21514
2004-04-01,19852
2004-05-01,18870
2004-06-01,20168
2004-07-01,20575
2004-08-01,18815
2004-09-01,18081
2004-10-01,17197
2004-11-01,17439
2004-12-01,18108
2005-01-01,19017
2005-02-01,19027
2005-03-01,16705
2005-04-01,16282
2005-05-01,16658
2005-06-01,17183
2005-07-01,18114
2005-08-01,16632
2005-09-01,17301
2005-10-01,15753
2005-11-01,16904
2005-12-01,15900
2006-01-01,17096
2006-02-01,18262
2006-03-01,17243
2006-04-01,16035
2006-05-01,16298
2006-06-01,16848
2006-07-01,18021
2006-08-01,16675
2006-09-01,16020
2006-10-01,14301
2006-11-01,14744
2006-12-01,14282
2007-01-01,16729
2007-02-01,16949
2007-03-01,14993
2007-04-01,14869
2007-05-01,14855
2007-06-01,16158
2007-07-01,17369
2007-08-01,16269
2007-09-01,16232
2007-10-01,15805
2007-11-01,16173
2007-12-01,17587
2008-01-01,19299
2008-02-01,19239
2008-03-01,18977
2008-04-01,17346
2008-05-01,18957
2008-06-01,19771
2008-07-01,20894
2008-08-01,21535
2008-09-01,21557
2008-10-01,20968
2008-11-01,21353
2008-12-01,23518
2009-01-01,27310
2009-02-01,29533
2009-03-01,28878
2009-04-01,27437
2009-05-01,29269
2009-06-01,31694
2009-07-01,31820
2009-08-01,31354
2009-09-01,31022
2009-10-01,30728
2009-11-01,29894
2009-12-01,30784
2010-01-01,33454
2010-02-01,33675
2010-03-01,31986
2010-04-01,30843
2010-05-01,29948
2010-06-01,31209
2010-07-01,31626
2010-08-01,30731
2010-09-01,29927
2010-10-01,29188
2010-11-01,29682
2010-12-01,29671
2011-01-01,31023
2011-02-01,30653
2011-03-01,28642
2011-04-01,27412
2011-05-01,27546
2011-06-01,29045
2011-07-01,29877
2011-08-01,29328
2011-09-01,29006
2011-10-01,28122
2011-11-01,27536
2011-12-01,29057
2012-01-01,30792
2012-02-01,32058
2012-03-01,30267
2012-04-01,28781
2012-05-01,29706
2012-06-01,31424
2012-07-01,32284
2012-08-01,31440
2012-09-01,29300
2012-10-01,28743
2012-11-01,26926
2012-12-01,28750
2013-01-01,31547
2013-02-01,30648
2013-03-01,27755
2013-04-01,26257
2013-05-01,26483
2013-06-01,27810
2013-07-01,27818
2013-08-01,26912
2013-09-01,25715
2013-10-01,24694
2013-11-01,23095
2013-12-01,22619
2014-01-01,24321
2014-02-01,24947
2014-03-01,23022
2014-04-01,20078
2014-05-01,20715
2014-06-01,21284
2014-07-01,22299
2014-08-01,21808
2014-09-01,19929
2014-10-01,19104
2014-11-01,18987
2014-12-01,18778
2015-01-01,21357
2015-02-01,21360
2015-03-01,19492
2015-04-01,18827
2015-05-01,19204
2015-06-01,19294
2015-07-01,19559
2015-08-01,18173
2015-09-01,17147
2015-10-01,16442
2015-11-01,16134
2015-12-01,16596
2016-01-01,17781
2016-02-01,18402
2016-03-01,17669
2016-04-01,16883
2016-05-01,15748
2016-06-01,17092
2016-07-01,18325
2016-08-01,18112
2016-09-01,17735
2016-10-01,17348
2016-11-01,16271
2016-12-01,17162
2017-01-01,18623
2017-02-01,19820
2017-03-01,17569
2017-04-01,16840
2017-05-01,17036
2017-06-01,18173
2017-07-01,19263
2017-08-01,19440
2017-09-01,17833
2017-10-01,17423
2017-11-01,17608
2017-12-01,17386
2018-01-01,18540
2018-02-01,19551
2018-03-01,17379
2018-04-01,15626
2018-05-01,14273
2018-06-01,15789
2018-07-01,16129
2018-08-01,15720
2018-09-01,13683
2018-10-01,13696
2018-11-01,13284
2018-12-01,14475
2019-01-01,16097
2019-02-01,16182
2019-03-01,14915
2019-04-01,13052
2019-05-01,12953
2019-06-01,14114
2019-07-01,15925
2019-08-01,16070
2019-09-01,14060
2019-10-01,14571
2019-11-01,14556
2019-12-01,15273
2020-01-01,16804
2020-02-01,17107
2020-03-01,19050
2020-04-01,61030
2020-05-01,47051
2020-06-01,38688
2020-07-01,37376
2020-08-01,29345
2020-09-01,26126
2020-10-01,21695
2020-11-01,21005
2020-12-01,23206
2021-01-01,24653
2021-02-01,25067
2021-03-01,22867
2021-04-01,20440
2021-05-01,18525
2021-06-01,20566
2021-07-01,19541
2021-08-01,18131
2021-09-01,15423
2021-10-01,14182
2021-11-01,12822
2021-12-01,11206
2022-01-01,14183
2022-02-01,14953
2022-03-01,14158
2022-04-01,11929
2022-05-01,11947
2022-06-01,12786
2022-07-01,14225
2022-08-01,14539
2022-09-01,11921
